book1	chapter1	verse1	book2	chapter2	verse2	similarity
Ezechiel	24	15	Sacharia	6	9	100
Exodus	30	22	Ezechiel	21	13	80
Leviticus	22	1	Leviticus	23	33	100
Leviticus	23	33	Sacharia	7	8	67
Reges_I	12	12	Chronica_II	10	12	100
Numeri	4	17	Jeremia	2	1	67
Numeri	5	11	Ezechiel	24	15	80
Numeri	16	20	Numeri	34	16	83
Leviticus	22	1	Jeremia	33	23	67
Samuel_I	15	10	Ezechiel	17	1	80
Exodus	6	10	Numeri	16	23	100
Leviticus	7	22	Numeri	10	1	100
Exodus	31	1	Jeremia	24	4	80
Ezechiel	34	1	Sacharia	8	18	80
Leviticus	24	13	Jeremia	13	3	67
Ezechiel	23	1	Sacharia	7	8	80
Exodus	16	11	Ezechiel	21	6	80
Exodus	6	10	Numeri	17	9	100
Daniel	9	4	Nehemia	1	5	76
Leviticus	21	16	Reges_I	6	11	67
Exodus	25	25	Exodus	37	12	100
Leviticus	5	14	Numeri	16	20	83
Numeri	27	15	Josua	20	1	67
Leviticus	12	1	Ezechiel	11	14	80
Numeri	7	39	Numeri	7	75	100
Jeremia	13	8	Ezechiel	22	17	100
Numeri	15	1	Ezechiel	20	2	80
Leviticus	17	1	Ezechiel	34	1	80
Leviticus	13	1	Ezechiel	37	15	67
Exodus	40	1	Numeri	35	9	100
Leviticus	23	1	Numeri	35	9	100
Leviticus	11	1	Leviticus	14	1	83
Reges_II	10	35	Reges_II	13	9	75
Leviticus	10	8	Leviticus	17	1	67
Jeremia	33	19	Ezechiel	27	1	80
Leviticus	23	9	Numeri	3	44	100
Samuel_II	22	12	Psalmi	18	12	70
Leviticus	23	9	Ezechiel	22	1	80
Jeremia	13	8	Ezechiel	34	1	100
Numeri	10	1	Numeri	31	1	100
Jeremia	33	19	Ezechiel	23	1	80
Leviticus	23	23	Numeri	19	1	83
Leviticus	6	12	Ezechiel	28	11	80
Leviticus	3	2	Leviticus	3	13	75
Numeri	16	23	Deuteronomium	2	17	80
Leviticus	10	8	Leviticus	19	1	67
Numeri	6	22	Ezechiel	27	1	80
Exodus	30	17	Ezechiel	18	1	80
Leviticus	21	16	Leviticus	24	13	100
Numeri	7	40	Numeri	7	70	100
Numeri	18	25	Ezechiel	27	1	80
Numeri	3	44	Ezechiel	22	23	80
Exodus	37	28	Exodus	38	6	78
Leviticus	24	13	Ezechiel	36	16	80
Numeri	18	25	Sacharia	8	1	67
Jeremia	32	6	Ezechiel	23	1	80
Numeri	10	1	Ezechiel	28	11	80
Leviticus	7	22	Ezechiel	22	1	80
Leviticus	21	16	Ezechiel	7	1	80
Jeremia	29	30	Ezechiel	24	15	80
Reges_I	2	14	Ezechiel	33	1	75
Numeri	17	1	Sacharia	6	9	80
Exodus	25	1	Exodus	40	1	100
Leviticus	11	1	Numeri	3	11	83
Numeri	6	1	Ezechiel	17	1	80
Numeri	26	47	Numeri	26	50	67
Josua	13	28	Josua	19	48	67
Exodus	7	8	Leviticus	21	16	67
Ezechiel	13	1	Ezechiel	21	1	100
Exodus	16	11	Leviticus	13	1	83
Numeri	16	20	Ezechiel	17	11	67
Numeri	1	48	Numeri	2	1	83
Ezechiel	12	26	Ezechiel	14	2	100
Numeri	28	25	Numeri	29	1	80
Numeri	4	1	Ezechiel	22	1	67
Reges_I	8	62	Chronica_II	7	4	89
Numeri	1	54	Josua	14	5	71
Numeri	20	7	Ezechiel	6	1	80
Leviticus	3	15	Leviticus	7	4	100
Numeri	4	1	Ezechiel	12	1	67
Leviticus	7	22	Leviticus	23	26	100
Reges_I	2	14	Ezechiel	12	17	75
Ezechiel	48	3	Ezechiel	48	6	67
Leviticus	17	1	Reges_I	17	2	80
Jeremia	33	19	Ezechiel	22	1	80
Exodus	25	1	Numeri	9	9	100
Numeri	16	23	Ezechiel	33	1	80
Numeri	18	25	Jeremia	33	19	67
Exodus	30	22	Numeri	2	1	83
Leviticus	3	2	Leviticus	3	8	80
Exodus	16	11	Numeri	3	11	100
Leviticus	5	20	Jeremia	18	5	80
Reges_I	22	39	Reges_II	13	8	67
Psalmi	106	1	Psalmi	118	29	78
Leviticus	24	13	Ezechiel	21	1	80
Numeri	34	16	Reges_I	17	8	80
Jesaia	8	5	Jeremia	1	4	67
Numeri	4	17	Ezechiel	28	1	67
Leviticus	22	1	Ezechiel	28	11	80
Leviticus	7	22	Numeri	5	1	100
Numeri	17	16	Ezechiel	23	1	80
Numeri	15	17	Josua	20	1	67
Leviticus	17	1	Leviticus	23	33	100
Deuteronomium	15	15	Deuteronomium	24	22	75
Exodus	25	1	Ezechiel	21	1	80
Numeri	7	15	Numeri	7	33	100
Leviticus	23	1	Sacharia	8	18	67
Numeri	8	5	Numeri	26	52	100
Numeri	20	7	Numeri	28	1	100
Leviticus	4	1	Sacharia	4	8	80
Exodus	30	11	Numeri	3	44	100
Psalmi	40	1	Psalmi	70	1	67
Leviticus	27	1	Ezechiel	22	1	80
Numeri	3	44	Numeri	16	20	83
Reges_II	18	26	Jesaia	36	11	83
Deuteronomium	2	2	Jeremia	2	1	75
Leviticus	17	1	Ezechiel	36	16	80
Samuel_II	5	16	Chronica_I	3	8	75
Deuteronomium	2	17	Jeremia	32	6	80
Jeremia	1	4	Ezechiel	21	13	100
Numeri	8	5	Deuteronomium	2	17	80
Exodus	6	10	Ezechiel	16	1	80
Ezechiel	48	2	Ezechiel	48	27	67
Numeri	8	23	Reges_I	17	2	80
Numeri	17	9	Jeremia	13	8	80
Numeri	7	55	Numeri	7	73	100
Exodus	31	1	Leviticus	17	1	100
Leviticus	8	1	Leviticus	15	1	83
Numeri	7	59	Numeri	7	77	76
Numeri	28	1	Ezechiel	37	15	80
Exodus	20	14	Deuteronomium	5	18	100
Leviticus	6	12	Ezechiel	14	2	80
Numeri	16	23	Ezechiel	27	1	80
Numeri	34	16	Jeremia	33	23	67
Leviticus	5	20	Numeri	9	9	100
Leviticus	14	33	Ezechiel	7	1	67
Ezechiel	15	1	Ezechiel	21	6	100
Reges_II	25	17	Jeremia	52	22	80
Numeri	35	9	Jeremia	16	1	80
Numeri	17	16	Ezechiel	22	1	80
Reges_I	17	8	Ezechiel	22	1	100
Numeri	3	5	Ezechiel	24	15	80
Numeri	8	1	Jeremia	33	19	67
Numeri	4	21	Jeremia	32	26	67
Numeri	5	5	Ezechiel	17	1	80
Exodus	31	12	Leviticus	13	1	67
Psalmi	52	1	Psalmi	140	1	67
Ezechiel	12	21	Ezechiel	16	1	100
Numeri	16	23	Jeremia	18	5	80
Jesaia	8	5	Ezechiel	21	13	67
Ezechiel	7	1	Ezechiel	12	1	100
Numeri	3	5	Jeremia	2	1	80
Leviticus	5	14	Leviticus	23	9	100
Leviticus	23	33	Numeri	9	9	100
Leviticus	7	22	Jeremia	33	19	67
Numeri	8	23	Sacharia	6	9	80
Exodus	30	22	Leviticus	17	1	100
Jeremia	35	12	Ezechiel	35	1	80
Numeri	4	17	Numeri	31	25	67
Leviticus	24	13	Numeri	35	9	100
Numeri	3	5	Sacharia	6	9	80
Ezechiel	29	1	Ezechiel	32	1	83
Exodus	30	11	Ezechiel	12	1	80
Exodus	7	8	Exodus	40	1	67
Leviticus	18	1	Samuel_I	15	10	67
Exodus	30	17	Ezechiel	37	15	80
Josua	20	1	Ezechiel	17	11	80
Leviticus	14	1	Numeri	3	5	100
Exodus	13	1	Numeri	4	1	83
Ezechiel	14	2	Ezechiel	24	15	100
Psalmi	40	1	Psalmi	52	1	67
Exodus	6	2	Exodus	40	1	71
Leviticus	11	1	Ezechiel	12	1	67
Exodus	19	8	Exodus	24	3	72
Jeremia	33	23	Ezechiel	12	21	80
Leviticus	20	1	Ezechiel	14	2	80
Numeri	3	5	Numeri	10	1	100
Ezechiel	24	19	Ezechiel	37	18	67
Numeri	3	44	Samuel_I	15	10	67
Leviticus	11	1	Numeri	17	1	83
Numeri	35	9	Jeremia	13	3	67
Numeri	6	1	Jesaia	38	4	67
Numeri	17	9	Jeremia	2	1	80
Jeremia	1	4	Ezechiel	13	1	100
Leviticus	12	1	Ezechiel	35	1	80
Numeri	9	9	Ezechiel	28	11	80
Reges_I	17	2	Ezechiel	38	1	100
Numeri	19	1	Ezechiel	21	13	67
Leviticus	5	20	Jeremia	29	30	67
Exodus	31	12	Numeri	31	1	80
Exodus	13	1	Leviticus	11	1	83
Leviticus	23	23	Ezechiel	20	2	80
Numeri	7	28	Numeri	29	5	71
Numeri	35	9	Jeremia	29	30	67
Josua	21	37	Chronica_I	6	64	67
Numeri	4	17	Numeri	5	5	83
Numeri	5	1	Ezechiel	23	1	80
Leviticus	6	17	Numeri	25	16	100
Leviticus	14	1	Numeri	31	1	100
Numeri	7	53	Numeri	7	71	76
Jeremia	18	5	Ezechiel	28	1	100
Leviticus	14	1	Ezechiel	17	1	80
Numeri	4	37	Numeri	4	41	79
Leviticus	7	28	Ezechiel	11	14	80
Leviticus	6	1	Ezechiel	34	1	80
Leviticus	6	12	Ezechiel	25	1	80
Numeri	1	48	Numeri	13	1	100
Leviticus	7	28	Numeri	15	17	100
Numeri	4	21	Ezechiel	23	1	80
Leviticus	23	23	Numeri	3	11	100
Josua	20	1	Ezechiel	23	1	80
Ezechiel	7	1	Ezechiel	18	1	100
Numeri	25	16	Ezechiel	38	1	80
Ezechiel	24	20	Ezechiel	27	1	100
Ezechiel	21	1	Ezechiel	37	15	100
Exodus	14	1	Numeri	28	1	100
Exodus	6	10	Numeri	27	15	100
Ezechiel	22	23	Ezechiel	35	1	100
Numeri	29	16	Numeri	29	28	92
Leviticus	11	1	Ezechiel	14	12	67
Ezechiel	30	1	Sacharia	7	8	80
Ezechiel	17	11	Ezechiel	28	1	100
Exodus	16	11	Ezechiel	33	23	80
Exodus	31	12	Numeri	17	16	80
Numeri	7	26	Numeri	7	62	100
Leviticus	10	8	Leviticus	11	1	83
Reges_I	17	8	Jeremia	32	6	80
Ezechiel	24	15	Sacharia	7	4	80
Exodus	13	1	Numeri	15	37	80
Numeri	17	1	Ezechiel	7	1	80
Exodus	30	22	Numeri	25	16	100
Jeremia	32	26	Jeremia	43	8	71
Numeri	7	55	Numeri	7	79	100
Jeremia	35	12	Ezechiel	21	23	80
Numeri	34	1	Ezechiel	12	1	80
Ezechiel	17	1	Ezechiel	33	1	100
Leviticus	4	1	Numeri	7	4	80
Leviticus	6	1	Numeri	17	1	100
Numeri	3	11	Ezechiel	21	1	80
Leviticus	22	17	Ezechiel	6	1	80
Leviticus	5	14	Numeri	28	1	100
Leviticus	18	1	Numeri	26	52	100
Leviticus	22	1	Ezechiel	28	20	80
Numeri	15	37	Numeri	27	6	100
Reges_II	19	15	Jesaia	37	16	75
Jeremia	35	12	Ezechiel	38	1	80
Exodus	16	11	Ezechiel	11	14	80
Exodus	30	11	Deuteronomium	2	17	80
Leviticus	20	1	Jeremia	35	12	67
Numeri	3	5	Numeri	34	1	100
Psalmi	20	1	Psalmi	41	1	100
Leviticus	17	1	Numeri	16	23	100
Psalmi	5	1	Psalmi	13	1	83
Numeri	20	7	Sacharia	7	4	67
Jeremia	24	4	Ezechiel	12	26	100
Numeri	27	15	Ezechiel	33	1	80
Ezechiel	35	1	Sacharia	7	4	80
Reges_I	21	9	Reges_I	21	12	69
Samuel_II	7	29	Chronica_I	17	27	73
Leviticus	6	17	Numeri	17	16	100
Jeremia	1	4	Jeremia	13	3	80
Exodus	7	6	Numeri	17	26	89
Numeri	27	15	Jeremia	33	23	67
Numeri	13	1	Ezechiel	6	1	80
Numeri	13	1	Samuel_I	15	10	67
Leviticus	27	1	Numeri	15	1	100
Numeri	6	22	Ezechiel	35	1	80
Numeri	28	1	Numeri	31	25	80
Leviticus	14	33	Numeri	17	9	83
Ezechiel	7	1	Sacharia	8	1	80
Ezechiel	12	17	Ezechiel	25	1	100
Ezechiel	22	1	Ezechiel	37	15	100
Exodus	25	10	Exodus	37	1	75
Ezechiel	12	17	Ezechiel	14	2	100
Numeri	35	9	Ezechiel	18	1	80
Exodus	25	1	Sacharia	7	8	67
Leviticus	11	1	Numeri	16	23	83
Numeri	18	25	Ezechiel	35	1	80
Leviticus	14	1	Numeri	5	1	100
Deuteronomium	2	2	Ezechiel	18	1	75
Leviticus	6	12	Ezechiel	12	17	80
Leviticus	11	17	Deuteronomium	14	16	67
Leviticus	7	22	Numeri	25	10	100
Leviticus	17	1	Numeri	34	1	100
Ezechiel	14	2	Ezechiel	30	1	100
Josua	19	31	Josua	19	39	75
Ezechiel	21	6	Sacharia	4	8	100
Sacharia	1	9	Sacharia	6	4	69
Reges_II	17	39	Jesaia	36	20	69
Josua	20	1	Ezechiel	38	1	80
Leviticus	6	17	Ezechiel	30	1	80
Reges_II	25	14	Jeremia	52	18	92
Reges_I	5	19	Chronica_II	6	10	65
Jeremia	32	6	Ezechiel	14	12	80
Leviticus	23	33	Numeri	34	1	100
Leviticus	24	1	Jeremia	33	23	67
Leviticus	11	1	Deuteronomium	2	17	67
Ezechiel	18	1	Sacharia	4	8	100
Numeri	17	1	Ezechiel	21	23	80
Ezechiel	21	23	Ezechiel	33	1	100
Leviticus	20	7	Samuel_I	2	2	71
Jeremia	1	4	Sacharia	7	8	80
Reges_II	10	34	Reges_II	23	28	76
Numeri	25	16	Ezechiel	13	1	80
Leviticus	4	1	Numeri	5	11	100
Reges_II	19	31	Jesaia	37	32	100
Numeri	25	16	Jeremia	24	4	80
Leviticus	7	28	Ezechiel	14	2	80
Psalmi	31	1	Psalmi	62	1	71
Numeri	20	7	Jeremia	1	4	80
Exodus	6	10	Exodus	30	22	100
Leviticus	13	1	Leviticus	17	1	83
Numeri	4	21	Numeri	18	25	100
Exodus	40	16	Numeri	36	10	73
Leviticus	24	13	Numeri	3	5	100
Exodus	31	1	Leviticus	4	1	100
Leviticus	19	1	Numeri	3	11	100
Numeri	8	5	Josua	20	1	67
Numeri	31	1	Josua	20	1	67
Ezechiel	12	17	Ezechiel	17	1	100
Exodus	6	2	Leviticus	23	9	71
Jeremia	2	1	Jeremia	32	26	80
Leviticus	5	20	Jeremia	33	23	67
Numeri	27	9	Numeri	27	10	78
Leviticus	23	1	Ezechiel	21	1	80
Exodus	14	1	Leviticus	7	28	100
Numeri	25	16	Jesaia	38	4	67
Exodus	7	6	Numeri	1	54	67
Leviticus	13	1	Ezechiel	28	11	67
Numeri	15	1	Numeri	25	10	100
Numeri	29	3	Numeri	29	9	92
Numeri	7	25	Numeri	7	31	100
Sacharia	7	4	Sacharia	8	1	100
Psalmi	105	6	Chronica_I	16	13	71
Iob	6	1	Iob	16	1	100
Numeri	7	25	Numeri	7	67	100
Samuel_I	15	10	Jeremia	32	6	67
Reges_II	21	5	Chronica_II	33	5	100
Reges_I	14	29	Reges_II	15	31	67
Leviticus	24	13	Numeri	6	1	100
Reges_II	12	20	Reges_II	15	6	88
Ezechiel	16	1	Ezechiel	22	23	100
Leviticus	23	9	Ezechiel	33	1	80
Numeri	4	17	Numeri	34	16	83
Jesaia	38	4	Ezechiel	22	1	80
Jeremia	2	1	Ezechiel	22	23	100
Numeri	17	1	Ezechiel	24	20	80
