book1	chapter1	verse1	book2	chapter2	verse2	similarity
Samuel_I	5	8	Samuel_I	5	10	62
Leviticus	20	1	Jeremia	24	4	79
Exodus	30	22	Numeri	16	20	85
Exodus	18	15	Exodus	32	22	61
Leviticus	22	26	Reges_I	5	16	61
Exodus	8	21	Psalmi	68	25	60
Josua	21	10	Judices	4	23	61
Samuel_II	7	4	Ezechiel	14	12	63
Leviticus	15	8	Leviticus	15	11	79
Deuteronomium	20	13	Judices	20	37	61
Leviticus	14	30	Reges_I	15	12	61
Leviticus	21	3	Chronica_I	26	18	61
Exodus	40	1	Jeremia	30	1	68
Samuel_I	15	10	Jeremia	29	30	90
Exodus	16	13	Jeremia	4	9	60
Psalmi	18	22	Psalmi	25	6	60
Genesis	18	17	Deuteronomium	1	18	60
Psalmi	127	4	Threni	3	27	64
Psalmi	89	4	Proverbia	25	27	60
Leviticus	24	13	Jeremia	16	1	79
Ezechiel	26	1	Ezechiel	30	20	82
Leviticus	20	11	Leviticus	20	13	72
Genesis	19	25	Exodus	29	35	60
Leviticus	14	1	Josua	4	15	79
Genesis	35	17	Exodus	5	10	61
Judices	8	9	Judices	11	31	60
Numeri	4	45	Numeri	26	50	64
Samuel_I	8	17	Psalmi	116	6	63
Numeri	6	26	Iob	13	8	62
Judices	6	16	Jesaia	42	12	61
Numeri	7	39	Numeri	7	75	100
Leviticus	25	1	Jeremia	2	1	63
Samuel_II	5	4	Reges_II	8	17	70
Judices	11	28	Jeremia	26	5	61
Jesaia	37	20	Chronica_II	20	29	63
Reges_II	15	6	Reges_II	23	28	96
Sacharia	12	2	Chronica_I	17	22	61
Jona	3	1	Psalmi	124	2	62
Leviticus	19	3	Psalmi	83	13	67
Genesis	16	11	Genesis	19	22	62
Jesaia	43	11	Psalmi	38	10	61
Numeri	33	30	Numeri	33	42	76
Psalmi	78	15	Proverbia	14	23	60
Reges_I	22	37	Psalmi	107	23	61
Genesis	21	11	Reges_I	15	11	61
Deuteronomium	2	16	Jesaia	52	14	62
Samuel_I	11	14	Nehemia	4	5	62
Genesis	43	10	Jesaia	42	12	62
Reges_I	14	19	Reges_II	15	6	77
Psalmi	20	1	Psalmi	53	1	71
Numeri	13	1	Ezechiel	21	13	79
Psalmi	68	25	Chronica_I	26	20	61
Genesis	4	13	Psalmi	77	11	62
Numeri	15	37	Numeri	26	1	62
Reges_II	8	18	Chronica_II	36	9	61
Psalmi	69	1	Iob	39	28	64
Deuteronomium	33	1	Ezechiel	41	13	60
Numeri	32	10	Ezechiel	34	1	60
Numeri	34	6	Jesaia	25	9	60
Exodus	39	14	Reges_II	3	1	62
Numeri	7	40	Numeri	7	70	100
Exodus	16	25	Chronica_II	18	27	61
Numeri	1	26	Numeri	1	28	95
Samuel_II	19	2	Reges_II	8	17	61
Genesis	28	21	Psalmi	68	11	61
Reges_II	12	1	Nehemia	7	13	65
Numeri	9	9	Psalmi	33	4	67
Samuel_II	16	4	Reges_II	13	16	63
Ezechiel	28	4	Nehemia	9	31	62
Deuteronomium	27	11	Psalmi	90	1	61
Esra	9	15	Chronica_II	6	14	61
Numeri	13	31	Samuel_I	10	12	60
Leviticus	21	24	Psalmi	12	3	61
Deuteronomium	27	14	Jeremia	30	22	60
Josua	9	19	Samuel_II	14	10	62
Genesis	29	16	Ezechiel	43	15	60
Leviticus	7	22	Numeri	14	26	85
Exodus	12	1	Numeri	13	1	61
Samuel_I	2	23	Reges_II	18	26	60
Numeri	15	17	Ezechiel	30	1	79
Exodus	31	10	Exodus	35	19	88
Samuel_I	18	24	Samuel_II	11	19	61
Psalmi	3	3	Psalmi	143	6	63
Genesis	15	21	Exodus	33	2	63
Esra	2	39	Nehemia	7	35	74
Numeri	31	18	Numeri	31	35	64
Samuel_II	23	22	Iob	33	29	60
Jeremia	24	4	Jeremia	34	12	73
Judices	12	12	Jeremia	36	15	63
Samuel_II	22	18	Samuel_II	22	49	60
Exodus	31	1	Numeri	4	17	85
Numeri	14	9	Jesaia	7	17	69
Psalmi	31	13	Iob	13	10	61
Samuel_II	15	27	Samuel_II	19	1	61
Jeremia	39	15	Haggai	1	3	65
Psalmi	119	107	Iob	18	1	65
Leviticus	7	22	Leviticus	23	26	100
Numeri	16	20	Josua	22	6	60
Leviticus	18	8	Psalmi	118	14	62
Jeremia	18	5	Iob	13	7	62
Deuteronomium	14	5	Jesaia	47	4	62
Leviticus	17	1	Ezechiel	37	15	79
Reges_I	16	1	Reges_I	21	28	74
Ezechiel	21	6	Psalmi	94	20	60
Genesis	21	33	Jeremia	44	16	62
Numeri	4	17	Ezechiel	28	1	67
Deuteronomium	4	4	Ezechiel	22	1	62
Psalmi	5	1	Psalmi	62	1	84
Genesis	24	6	Psalmi	50	12	62
Reges_II	23	36	Reges_II	24	18	83
Jesaia	2	12	Psalmi	96	4	62
Jeremia	25	37	Jeremia	51	45	61
Deuteronomium	4	30	Samuel_I	17	30	60
Threni	3	10	Esra	7	3	62
Numeri	9	9	Ezechiel	12	17	79
Numeri	34	7	Reges_I	18	39	62
Leviticus	1	1	Reges_I	17	8	62
Numeri	4	25	Chronica_II	5	5	61
Numeri	34	22	Numeri	34	26	67
Psalmi	33	8	Proverbia	3	9	61
Numeri	26	52	Proverbia	31	1	62
Leviticus	14	1	Ezechiel	30	1	79
Exodus	30	17	Numeri	4	17	85
Judices	13	10	Samuel_II	18	10	69
Samuel_I	18	15	Psalmi	33	4	62
Samuel_II	20	4	Ezechiel	24	19	60
Exodus	3	14	Exodus	4	27	62
Iob	20	23	Chronica_I	6	32	60
Psalmi	18	22	Psalmi	78	10	64
Exodus	31	1	Joel	1	1	60
Exodus	12	49	Exodus	30	28	61
Hosea	11	6	Iob	18	13	64
Esther	6	1	Esther	9	11	63
Exodus	16	25	Reges_I	19	9	62
Reges_II	19	15	Jesaia	37	16	87
Josua	21	14	Chronica_I	6	60	76
Deuteronomium	1	32	Reges_I	16	1	62
Samuel_I	14	18	Nehemia	13	9	61
Exodus	7	1	Jeremia	9	12	62
Jeremia	28	6	Nehemia	10	37	60
Nehemia	7	12	Nehemia	7	41	63
Numeri	35	18	Psalmi	139	15	61
Psalmi	30	5	Psalmi	107	21	64
Jesaia	13	8	Sacharia	4	4	61
Chronica_I	11	17	Chronica_II	6	1	60
Psalmi	70	1	Psalmi	103	9	65
Samuel_I	17	19	Psalmi	96	2	61
Jesaia	14	15	Psalmi	119	85	63
Jeremia	1	8	Iob	34	16	62
Psalmi	107	1	Psalmi	107	8	61
Psalmi	118	20	Iob	38	38	67
Genesis	17	4	Sacharia	6	9	65
