version	book	chapter	verse	clause_atom	is_shared	is_published	status	keywords	ntext
4b	Genesis	1	7	19	T		!	valence	_10_ [2|יַּ֣עַשׂ] do; make; perform; observe [4|& the firmament]
4b	Genesis	1	11	41	T		?	valence val_wrn	_1l_ [1|עֹ֤שֶׂה] do; make; perform; observe [2|fruit] at [4|upon the earth]
4b	Genesis	1	11	41	T		?	valence val_wrn	[4|upon the earth] taken as locative adjunct
4b	Genesis	1	12	48	T		!	valence	_10_ [1|עֹ֥שֶׂה] do; make; perform; observe [2|fruit]
4b	Genesis	1	16	63	T		!	valence	_10_ [2|יַּ֣עַשׂ] do; make; perform; observe [4|& two the lamp the great]
4b	Genesis	1	25	100	T		!	valence	_10_ [2|יַּ֣עַשׂ] do; make; perform; observe [4|& wild animal the earth]
4b	Genesis	1	26	106	T		!	valence	_10_ [1|נַֽעֲשֶׂ֥ה] do; make; perform; observe [2|human, mankind]
4b	Genesis	1	31	133	T		!	valence	_00_ [2|עָשָׂ֔ה] act; take action
4b	Genesis	2	2	140	T		!	valence	_00_ [2|עָשָׂ֑ה] act; take action
4b	Genesis	2	2	142	T		!	valence	_00_ [2|עָשָֽׂה] act; take action
4b	Genesis	2	3	147	T		!	valence	_00_ [1|עֲשֹֽׂות] act; take action
4b	Genesis	2	4	151	T		!	valence	_10_ [1|עֲשֹׂ֛ות] do; make; perform; observe [3|earth and heavens]
4b	Genesis	2	18	203	T		?	valence val_wrn	_1i_ [1|אֶֽעֱשֶׂהּ] do; make; perform; observe [3|help, helper as counterpart~him] for [2|to~him]
4b	Genesis	2	18	203	T		?	valence val_wrn	[2|to~him] taken as benefactive adjunct
4b	Genesis	3	1	231	T		!	valence	_00_ [2|עָשָׂ֖ה] act; take action
4b	Genesis	3	7	264	T		?	valence val_wrn	_1i_ [2|יַּעֲשׂ֥וּ] do; make; perform; observe [4|girdle] for [3|to~them:mm]
4b	Genesis	3	7	264	T		?	valence val_wrn	[3|to~them:mm] taken as benefactive adjunct
4b	Genesis	3	13	289	T		!	valence	_10_ [2|עָשִׂ֑ית] do; make; perform; observe [1|what this]
4b	Genesis	3	14	294	T		!	valence	_10_ [2|עָשִׂ֣יתָ] do; make; perform; observe [3|this]
4b	Genesis	3	21	323	T		!	valence	_2_ [2|יַּעַשׂ֩] make [4|to human, mankind and to woman~him] to be [5|tunic skin]
4b	Genesis	4	10	377	T		!	valence	_10_ [2|עָשִׂ֑יתָ] do; make; perform; observe [1|what]
4b	Genesis	5	1	443	T		!	valence	_10_ [2|עָשָׂ֥ה] do; make; perform; observe [3|&~him]
4b	Genesis	6	6	554	T		?	valence val_wrn	_1l_ [2|עָשָׂ֥ה] do; make; perform; observe [3|& the human, mankind] at [4|in the earth]
4b	Genesis	6	6	554	T		?	valence val_wrn	[4|in the earth] taken as locative adjunct
4b	Genesis	6	7	561	T		!	valence	_10_ [2|עֲשִׂיתִֽם] do; make; perform; observe [2|make~them:mm]
4b	Genesis	6	14	576	T		?	valence val_wrn	_1i_ [1|עֲשֵׂ֤ה] do; make; perform; observe [3|ark tree gopher] for [2|to~you:m]
4b	Genesis	6	14	576	T		?	valence val_wrn	[2|to~you:m] taken as benefactive adjunct
4b	Genesis	6	14	577	T		!	valence	_2_ [2|תַּֽעֲשֶׂ֣ה] make [3|& the ark] to be [1|nest]
4b	Genesis	6	15	580	T		!	valence	_10_ [2|תַּֽעֲשֶׂ֖ה] do; make; perform; observe [3|&~her]
4b	Genesis	6	16	584	T		!	valence	_2_ [2|תַּֽעֲשֶׂ֣ה] make [3|to the ark] to be [1|roof]
4b	Genesis	6	16	587	T		!	valence	_2_ [2|תַּֽעֲשֶֽׂהָ] make [2|make~her] to be [1|lower second and third]
4b	Genesis	6	22	610	T		!	valence	_00_ [2|יַּ֖עַשׂ] act; take action
4b	Genesis	6	22	612	T		!	valence	_00_ [2|עָשָֽׂה] act; take action
4b	Genesis	7	4	624	T		!	valence	_00_ [2|עָשִׂ֔יתִי] act; take action
4b	Genesis	7	5	626	T		!	valence	_00_ [2|יַּ֖עַשׂ] act; take action
4b	Genesis	8	6	696	T		!	valence	_00_ [2|עָשָֽׂה] act; take action
4b	Genesis	8	21	751	T		!	valence	_00_ [2|עָשִֽׂיתִי] act; take action
4b	Genesis	9	6	773	T		!	valence	_10_ [3|עָשָׂ֖ה] do; make; perform; observe [4|& the human, mankind]
4b	Genesis	9	24	837	T		?	valence val_wrn	_0i_ [2|עָ֥שָׂה] act; take action for [3|to~him]
4b	Genesis	9	24	837	T		?	valence val_wrn	[3|to~him] taken as benefactive adjunct
4b	Genesis	11	4	923	T		?	valence val_wrn	_1i_ [2|נַֽעֲשֶׂה] do; make; perform; observe [4|name] for [3|to~us]
4b	Genesis	11	4	923	T		?	valence val_wrn	[3|to~us] taken as benefactive adjunct
4b	Genesis	11	6	933	T		!	valence	_00_ [1|עֲשֹׂ֑ות] act; take action
4b	Genesis	11	6	936	T		!	valence	_00_ [1|עֲשֹֽׂות] act; take action
4b	Genesis	12	2	1018	T		!	valence	_2_ [2|אֶֽעֶשְׂךָ֙] make [2|make~you:m] to be [3|to people great]
4b	Genesis	12	5	1033	T		?	valence val_wrn	_0l_ [2|עָשׂ֣וּ] act; take action at [3|in <town>]
4b	Genesis	12	5	1033	T		?	valence val_wrn	[3|in <town>] taken as locative adjunct
4b	Genesis	12	18	1083	T		?	valence val_wrn	_1i_ [2|עָשִׂ֣יתָ] do; make; perform; observe [1|what this] for [3|to~me]
4b	Genesis	12	18	1083	T		?	valence val_wrn	[3|to~me] taken as benefactive adjunct
4b	Genesis	13	4	1104	T		?	valence val_wrn	_0l_ [2|עָ֥שָׂה] act; take action at [3|there]
4b	Genesis	13	4	1104	T		?	valence val_wrn	[3|there] taken as locative adjunct
4b	Genesis	14	2	1163	T		?	valence val_wrn	_1l_ [1|עָשׂ֣וּ] do; make; perform; observe [2|war] at [3|together with Bera king Sodom and together with Birsha king Gomorrah Shinab king Admah and Shemeber king Zeboiim and king Bela]
4b	Genesis	14	2	1163	T		?	valence val_wrn	[3|together with Bera king Sodom and together with Birsha king Gomorrah Shinab king Admah and Shemeber king Zeboiim and king Bela] taken as locative adjunct
4b	Genesis	16	6	1343	T		?	valence val_wrn	_1i_ [1|עֲשִׂי] do; make; perform; observe [2|the good in eye~you:f] for [2|to~her]
4b	Genesis	16	6	1343	T		?	valence val_wrn	[2|to~her] taken as benefactive adjunct
4b	Genesis	18	5	1488	T		!	valence	_00_ [2|תַּעֲשֶׂ֖ה] act; take action
4b	Genesis	18	6	1494	T		!	valence	_10_ [2|עֲשִׂ֥י] do; make; perform; observe [3|cake]
4b	Genesis	18	7	1499	T		!	valence	_10_ [1|עֲשֹׂ֥ות] do; make; perform; observe [2|&~him]
4b	Genesis	18	8	1501	T		!	valence	_00_ [2|עָשָׂ֔ה] act; take action
