001;2plm;ZIm0;;1;1;0;imperat.;;;;;;imperat.;disc;main;zero;;opnDrSpMain;; [HDW <Pr>] [L-JHWH <Co>];praise!;praise;
001;3sgm;xQt0;;2;1;933;ind.;;;;;;ind.;disc;2nd;retro;;opnSbLn2ndR;SubDm;      |  [KJ <Cj>] [VWB <Pr>];given that he has been good;has been good;
001;---;NmCl;;3;1;1693;nomin.;;;;;;nomin.;disc;main;;;opnSbLnMain;SubDm;      |      [KJ <Cj>] [L-<WLM <PC>] [XSDW <Su>];given that his loyalty is to eternity;is;
002;3plm;ZYqX;;4;11;0;volit.;;;;;precDrSp;non-vol.;disc;main;zero;;(re)openMain;;     [J>MRW <Pr>] [G>WLJ JHWH <Su>];the being redeemed ones of YHWH say (to/of);say (to/of);
002;3sgm;xQt0;Attr;5;11;943;ind.;;;;;;ind.;disc;2nd;retro;;opnAttr2ndR;AttrDm;          |  [>CR <Re>] [G>LM <PO>] [M-JD YR <Co>];for whom/which is true that he has redeemed them;has redeemed;
003;3sgm;WxQ0;Coor;6;11;1061;ind.;;;;>CR;;ind.;disc;2nd;retro;;crdAttr2ndR;AttrDm;          |      [W-<Cj>] [M->RYWT <Co>] [QBYM / M-MZRX W-M-M<RB M-YPWN W-M-JM <sp><PO>];and (for whom/which is true that) he has collected them;has collected;
004;3pl-;ZQt0;;7;111;0;ind.;;;;;;ind.;narr;2nd;retro;;precAntInf;;         [T<W <Pr>] [B--MDBR <Co>] [B-JCJMWN DRK <Lo>];when they had erred;had erred;
004;3pl-;xQt0;;8;111;971;ind.;;;;;;ind.;narr;2nd;retro;;ctAtInf2ndR;;              |   |   |  [<JR MWCB <Ob>] [L> <Ng>] [MY>W <Pr>];(when) they had not found a town of a seat;had found;
005;-plm;AjCl;;9;111;1691;nomin.;;;;;;nomin.;narr;2nd;;;ctAtInf2nd;;              |   |   |      [R<BJM <PC>];(when) they were hungry;were;
005;-plm;AjCl;Coor;10;111;1731;nomin.;;;;;;nomin.;narr;2nd;;;ctAtInf2nd;;              |   |   |          [GM <Mo>] [YM>JM <PC>];also/even (when) they were thirsty;were;
005;3sgf;XxYq;;11;111;471;non-vol.;;;;;;non-vol.;disc;main;zero;;ctAtInf>Fg;;              |   |   |              [NPCM <Su>] [BHM <Co>] [TT<VP <Pr>];(when) their soul faints;faints;
006;3plm;Way0;;12;111;1291;ind.;;;;;;ind.;narr;main;zero;;AntInf>Mn;;              |   |  [W-<Cj>] [JY<QW <Pr>] [>L JHWH <Co>] [B--YR / LHM <sp><Aj>];they cried;cried;
006;3sgm;xYq0;;13;111;622;non-vol.;;;;;;non-vol.;disc;main;zero;;narr>disc;;              |   |      [M-MYWQWTJHM <Co>] [JYJLM <PO>];yes/indeed, he delivers them;delivers;
007;3sgm;Way0;;14;111;1271;ind.;;;;;;ind.;narr;main;zero;;disc>narr;;              |   |          [W-<Cj>] [JDRJKM <PO>] [B-DRK JCRH <Co>];he caused them to tread;caused to tread;
007;---;InfC;AjCl;15;111;0;inf.;;;;;;inf.;;;;;opnDpLn;DepDm;              |   |              [L-LKT <Pr>] [>L <JR MWCB <Co>];in order to walk;walk;
008;3plm;ZYq0;;16;1111;0;volit.;;;;;;volit.;disc;main;zero;;(re)openMain;;              |  [JWDW <Pr>] [L-JHWH <Co>] [XSDW <Ob>];let them praise his loyalty;let praise;
008;---;Ellp;;17;1111;0;-;;;;;;-;;;;;;;              |        | [W-<Cj>] [NPL>WTJW / L-BNJ >DM <sp><Ob>];and his miraculous ones;;
009;3sgm;xQt0;;18;1111;943;ind.;;;;;;ind.;disc;2nd;retro;;opnSbLn2ndR;SubDm;              |      [KJ <Cj>] [HFBJ< <Pr>] [NPC CQQH <Ob>];given that he has caused a soul to be sated (with);has caused to be sated (with);
009;3sgm;WxQ0;;19;1111;1063;ind.;;;;;;ind.;disc;2nd;retro;;opn2ndR;;              |          [W-<Cj>] [NPC R<BH <Ob>] [ML> <Pr>] [VWB <Ob>];so he has caused a soul to be full (of);has caused to be full (of);
010;-plm;CPen;;20;111;0;-;;;;;;-;;;;;precAntInf;;             [JCBJ <PC>] [XCK W-YLMWT <Ob>];when concerning those who are sitting (in) darkness and..;are sitting (in);
010;---;NmCl;Attr;21;111;1693;nomin.;;;;;;nomin.;disc;main;;;opnAttrMain;AttrDm;                  |   |   |  [>SJRJ <NJ W-BRZL <PC>];who/which are prisoners of a poverty and..;are;
011;3pl-;xQt0;;22;111;1013;ind.;;;;;;ind.;narr;2nd;retro;;precAntInf;SubDm;                  |   |   |      [KJ <Cj>] [HMRW <Pr>] [>MRJ >L <Ob>];given that when they had rebelled (against) words of God;had rebelled (against);
011;3pl-;WxQ0;Coor;23;111;1061;ind.;;;;KJ;;ind.;narr;2nd;retro;;ctAtInf2ndR;SubDm;                  |   |   |           |  [W-<Cj>] [<YT <LJWN <Ob>] [N>YW <Pr>];and (given that) (when) they had contemned a counsel of the upper one;had contemned;
012;3sgm;Way0;Coor;24;111;1292;ind.;;;;KJ;;ind.;narr;main;zero;;AntInf>Mn;SubDm;                  |   |   |          [W-<Cj>] [JKN< <Pr>] [B--<ML <Aj>] [LBM <Ob>];(given that) he caused their heart to be humbled;caused to be humbled;
012;3pl-;ZQt0;;25;111;0;ind.;;;;;;ind.;narr;2nd;retro;;;;                  |   |  [KCLW <Pr>];they had stumbled;had stumbled;
012;---;NmCl;;26;111;1692;ng.exst.;;;;;;ng.exst.;narr;2nd;;;ctAtInf2nd;;                  |   |       |  [W-<Cj>] [>JN <NC>] [<ZR <PC>];and (when) there was no helper;was;
013;3plm;Way0;;27;111;1291;ind.;;;;;;ind.;narr;main;zero;;AntInf>Mn;;                  |   |      [W-<Cj>] [JZ<QW <Pr>] [>L JHWH <Co>] [B--YR / LHM <sp><Aj>];they cried;cried;
