version	book	chapter	verse	clause_atom	is_shared	is_published	status	keywords	ntext
4b	Psalmi	1	1	1	T		!	verbsystem poetry	[Verb analysis of psalm 1](tool:verbsystem/files/Psalm001.html)
4b	Psalmi	2	1	21	T		!	verbsystem poetry	[Verb analysis of psalm 2](tool:verbsystem/files/Psalm002.html)
4b	Psalmi	3	1	55	T		!	verbsystem poetry	[Verb analysis of psalm 3](tool:verbsystem/files/Psalm003.html)
4b	Psalmi	4	1	86	T		!	verbsystem poetry	[Verb analysis of psalm 4](tool:verbsystem/files/Psalm004.html)
4b	Psalmi	5	1	122	T		!	verbsystem poetry	[Verb analysis of psalm 5](tool:verbsystem/files/Psalm005.html)
4b	Psalmi	6	1	165	T		!	verbsystem poetry	[Verb analysis of psalm 6](tool:verbsystem/files/Psalm006.html)
4b	Psalmi	7	1	203	T		!	verbsystem poetry	[Verb analysis of psalm 7](tool:verbsystem/files/Psalm007.html)
4b	Psalmi	8	1	260	T		!	verbsystem poetry	[Verb analysis of psalm 8](tool:verbsystem/files/Psalm008.html)
4b	Psalmi	9	1	286	T		!	verbsystem poetry	[Verb analysis of psalm 9](tool:verbsystem/files/Psalm009.html)
4b	Psalmi	10	1	354	T		!	verbsystem poetry	[Verb analysis of psalm 10](tool:verbsystem/files/Psalm010.html)
4b	Psalmi	11	1	418	T		!	verbsystem poetry	[Verb analysis of psalm 11](tool:verbsystem/files/Psalm011.html)
4b	Psalmi	12	1	442	T		!	verbsystem poetry	[Verb analysis of psalm 12](tool:verbsystem/files/Psalm012.html)
4b	Psalmi	13	1	474	T		!	verbsystem poetry	[Verb analysis of psalm 13](tool:verbsystem/files/Psalm013.html)
4b	Psalmi	14	1	496	T		!	verbsystem poetry	[Verb analysis of psalm 14](tool:verbsystem/files/Psalm014.html)
4b	Psalmi	15	1	523	T		!	verbsystem poetry	[Verb analysis of psalm 15](tool:verbsystem/files/Psalm015.html)
4b	Psalmi	16	1	542	T		!	verbsystem poetry	[Verb analysis of psalm 16](tool:verbsystem/files/Psalm016.html)
4b	Psalmi	17	1	576	T		!	verbsystem poetry	[Verb analysis of psalm 17](tool:verbsystem/files/Psalm017.html)
4b	Psalmi	18	1	634	T		!	verbsystem poetry	[Verb analysis of psalm 18](tool:verbsystem/files/Psalm018.html)
4b	Psalmi	19	1	776	T		!	verbsystem poetry	[Verb analysis of psalm 19](tool:verbsystem/files/Psalm019.html)
4b	Psalmi	20	1	820	T		!	verbsystem poetry	[Verb analysis of psalm 20](tool:verbsystem/files/Psalm020.html)
4b	Psalmi	21	1	848	T		!	verbsystem poetry	[Verb analysis of psalm 21](tool:verbsystem/files/Psalm021.html)
4b	Psalmi	22	1	884	T		!	verbsystem poetry	[Verb analysis of psalm 22](tool:verbsystem/files/Psalm022.html)
4b	Psalmi	23	1	990	T		!	verbsystem poetry	[Verb analysis of psalm 23](tool:verbsystem/files/Psalm023.html)
